dteday,registered,cnt
01-01-2018,654,985
02-01-2018,670,801
03-01-2018,1229,1349
04-01-2018,1454,1562
05-01-2018,1518,1600
06-01-2018,1518,1606
07-01-2018,1362,1510
08-01-2018,891,959
09-01-2018,768,822
10-01-2018,1280,1321
11-01-2018,1220,1263
12-01-2018,1137,1162
13-01-2018,1368,1406
14-01-2018,1367,1421
15-01-2018,1026,1248
16-01-2018,953,1204
17-01-2018,883,1000
18-01-2018,674,683
19-01-2018,1572,1650
20-01-2018,1844,1927
21-01-2018,1468,1543
22-01-2018,888,981
23-01-2018,836,986
24-01-2018,1330,1416
25-01-2018,1799,1985
26-01-2018,472,506
27-01-2018,416,431
28-01-2018,1129,1167
29-01-2018,975,1098
30-01-2018,956,1096
31-01-2018,1459,1501
01-02-2018,1313,1360
02-02-2018,1454,1526
03-02-2018,1489,1550
04-02-2018,1620,1708
05-02-2018,905,1005
06-02-2018,1269,1623
07-02-2018,1592,1712
08-02-2018,1466,1530
09-02-2018,1552,1605
10-02-2018,1491,1538
11-02-2018,1597,1746
12-02-2018,1184,1472
13-02-2018,1192,1589
14-02-2018,1705,1913
15-02-2018,1675,1815
16-02-2018,1897,2115
17-02-2018,2216,2475
18-02-2018,2348,2927
19-02-2018,1103,1635
20-02-2018,1173,1812
21-02-2018,912,1107
22-02-2018,1376,1450
23-02-2018,1778,1917
24-02-2018,1707,1807
25-02-2018,1341,1461
26-02-2018,1545,1969
27-02-2018,1708,2402
28-02-2018,1365,1446
01-03-2018,1714,1851
02-03-2018,1903,2134
03-03-2018,1562,1685
04-03-2018,1730,1944
05-03-2018,1437,2077
06-03-2018,491,605
07-03-2018,1628,1872
08-03-2018,1817,2133
09-03-2018,1700,1891
10-03-2018,577,623
11-03-2018,1730,1977
12-03-2018,1408,2132
13-03-2018,1435,2417
14-03-2018,1687,2046
15-03-2018,1767,2056
16-03-2018,1871,2192
17-03-2018,2320,2744
18-03-2018,2355,3239
19-03-2018,1693,3117
20-03-2018,1424,2471
21-03-2018,1676,2077
22-03-2018,2243,2703
23-03-2018,1918,2121
24-03-2018,1699,1865
25-03-2018,1910,2210
26-03-2018,1515,2496
27-03-2018,1221,1693
28-03-2018,1806,2028
29-03-2018,2108,2425
30-03-2018,1368,1536
31-03-2018,1506,1685
01-04-2018,1920,2227
02-04-2018,1354,2252
03-04-2018,1598,3249
04-04-2018,2381,3115
05-04-2018,1628,1795
06-04-2018,2395,2808
07-04-2018,2570,3141
08-04-2018,1299,1471
09-04-2018,1576,2455
10-04-2018,1707,2895
11-04-2018,2493,3348
12-04-2018,1777,2034
13-04-2018,1953,2162
14-04-2018,2738,3267
15-04-2018,2484,3126
16-04-2018,674,795
17-04-2018,2186,3744
18-04-2018,2760,3429
19-04-2018,2795,3204
20-04-2018,3331,3944
21-04-2018,3444,4189
22-04-2018,1506,1683
23-04-2018,2574,4036
24-04-2018,2481,4191
25-04-2018,3300,4073
26-04-2018,3722,4400
27-04-2018,3325,3872
28-04-2018,3489,4058
29-04-2018,3717,4595
30-04-2018,3347,5312
01-05-2018,2213,3351
02-05-2018,3554,4401
03-05-2018,3848,4451
04-05-2018,2378,2633
05-05-2018,3819,4433
06-05-2018,3714,4608
07-05-2018,3102,4714
08-05-2018,2932,4333
09-05-2018,3698,4362
10-05-2018,4109,4803
11-05-2018,3632,4182
12-05-2018,4169,4864
13-05-2018,3413,4105
14-05-2018,2507,3409
15-05-2018,2971,4553
16-05-2018,3185,3958
17-05-2018,3445,4123
18-05-2018,3319,3855
19-05-2018,3840,4575
20-05-2018,4008,4917
21-05-2018,3547,5805
22-05-2018,3084,4660
23-05-2018,3438,4274
24-05-2018,3833,4492
25-05-2018,4238,4978
26-05-2018,3919,4677
27-05-2018,3808,4679
28-05-2018,2757,4758
29-05-2018,2433,4788
30-05-2018,2549,4098
31-05-2018,3309,3982
01-06-2018,3461,3974
02-06-2018,4232,4968
03-06-2018,4414,5312
04-06-2018,3473,5342
05-06-2018,3221,4906
06-06-2018,3875,4548
07-06-2018,4070,4833
08-06-2018,3725,4401
09-06-2018,3352,3915
10-06-2018,3771,4586
11-06-2018,3237,4966
12-06-2018,2993,4460
13-06-2018,4157,5020
14-06-2018,4164,4891
15-06-2018,4411,5180
16-06-2018,3222,3767
17-06-2018,3981,4844
18-06-2018,3312,5119
19-06-2018,3105,4744
20-06-2018,3311,4010
21-06-2018,4061,4835
22-06-2018,3846,4507
23-06-2018,4044,4790
24-06-2018,4022,4991
25-06-2018,3420,5202
26-06-2018,3385,5305
27-06-2018,3854,4708
28-06-2018,3916,4648
29-06-2018,4377,5225
30-06-2018,4488,5515
01-07-2018,4116,5362
02-07-2018,2915,5119
03-07-2018,2367,4649
04-07-2018,2978,6043
05-07-2018,3634,4665
06-07-2018,3845,4629
07-07-2018,3838,4592
08-07-2018,3348,4040
09-07-2018,3348,5336
10-07-2018,3138,4881
11-07-2018,3363,4086
12-07-2018,3596,4258
13-07-2018,3594,4342
14-07-2018,4196,5084
15-07-2018,4220,5538
16-07-2018,3505,5923
17-07-2018,3296,5302
18-07-2018,3617,4458
19-07-2018,3789,4541
20-07-2018,3688,4332
21-07-2018,3152,3784
22-07-2018,2825,3387
23-07-2018,2298,3285
24-07-2018,2556,3606
25-07-2018,3272,3840
26-07-2018,3840,4590
27-07-2018,3901,4656
28-07-2018,3784,4390
29-07-2018,3176,3846
30-07-2018,2916,4475
31-07-2018,2778,4302
01-08-2018,3537,4266
02-08-2018,4044,4845
03-08-2018,3107,3574
04-08-2018,3777,4576
05-08-2018,3843,4866
06-08-2018,2773,4294
07-08-2018,2487,3785
08-08-2018,3480,4326
09-08-2018,3695,4602
10-08-2018,3896,4780
11-08-2018,3980,4792
12-08-2018,3854,4905
13-08-2018,2646,4150
14-08-2018,2482,3820
15-08-2018,3563,4338
16-08-2018,4004,4725
17-08-2018,4026,4694
18-08-2018,3166,3805
19-08-2018,3356,4153
20-08-2018,3277,5191
21-08-2018,2624,3873
22-08-2018,3925,4758
23-08-2018,4614,5895
24-08-2018,4181,5130
25-08-2018,3107,3542
26-08-2018,3893,4661
27-08-2018,889,1115
28-08-2018,2919,4334
29-08-2018,3905,4634
30-08-2018,4429,5204
31-08-2018,4370,5058
01-09-2018,4332,5115
02-09-2018,3852,4727
03-09-2018,2549,4484
04-09-2018,2419,4940
05-09-2018,2115,3351
06-09-2018,2506,2710
07-09-2018,1878,1996
08-09-2018,1689,1842
09-09-2018,3127,3544
10-09-2018,3595,5345
11-09-2018,3413,5046
