Name,Year,duration,Rating,Meta_score,Votes,Director,cast,Gross,genre
The Shawshank Redemption,1994,142,9.3,80.0,2377480,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",28.34,Drama
The Godfather,1972,175,9.2,100.0,1646818,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",134.97,Crime
The Dark Knight,2008,152,9.0,84.0,2341261,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",534.86,Action
The Godfather: Part II,1974,202,9.0,90.0,1146666,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton",57.3,Crime
12 Angry Men,1957,96,9.0,96.0,701882,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",4.36,Crime
The Lord of the Rings: The Return of the King,2003,201,8.9,94.0,1663902,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",377.85,Action
Pulp Fiction,1994,154,8.9,94.0,1852195,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis",107.93,Crime
Schindler's List,1993,195,8.9,94.0,1229549,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall",96.9,Biography
Inception,2010,148,8.8,74.0,2099854,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe",292.58,Action
Fight Club,1999,139,8.8,66.0,1881336,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier",37.03,Drama
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,1683989,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",315.54,Action
Forrest Gump,1994,142,8.8,82.0,1838908,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field",330.25,Drama
"Il buono, il brutto, il cattivo",1966,161,8.8,90.0,697056,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè",6.1,Western
The Lord of the Rings: The Two Towers,2002,179,8.7,87.0,1504615,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",342.55,Action
The Matrix,1999,136,8.7,73.0,1700513, Lilly Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",171.48,Action
Goodfellas,1990,146,8.7,90.0,1036656,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",46.84,Biography
Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82.0,1173214,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",290.48,Action
One Flew Over the Cuckoo's Nest,1975,133,8.7,83.0,929075,Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco",112.0,Drama
Gisaengchung,2019,132,8.6,96.0,591108,Bong Joon Ho,"Kang-ho Song, Sun-kyun Lee, Yeo-jeong Cho, Woo-sik Choi",53.37,Comedy
Soorarai Pottru,2020,153,8.6,,58433,Sudha Kongara,"Suriya, Madhavan, Aparna Balamurali, Paresh Rawal",,Drama
Interstellar,2014,169,8.6,74.0,1544204,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",188.02,Adventure
Cidade de Deus,2002,130,8.6,79.0,706471,tia Lund,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen",7.56,Crime
Sen to Chihiro no kamikakushi,2001,125,8.6,96.0,665106,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi",10.06,Animation
Saving Private Ryan,1998,169,8.6,91.0,1253851,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns",216.54,Drama
The Green Mile,1999,189,8.6,61.0,1166235,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt",136.8,Crime
La vita è bella,1997,116,8.6,,633126,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano",57.6,Comedy
Se7en,1995,127,8.6,65.0,1467956,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker",100.13,Crime
The Silence of the Lambs,1991,118,8.6,85.0,1290509,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons",130.74,Crime
Star Wars,1977,121,8.6,90.0,1245210,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness",322.74,Action
Seppuku,1962,133,8.6,85.0,44169,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba",,Action
Shichinin no samurai,1954,207,8.6,98.0,319844,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",0.27,Action
It's a Wonderful Life,1946,130,8.6,89.0,410692,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",,Drama
Hamilton,2020,160,8.5,90.0,62258,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry",,Biography
Ratsasan,2018,170,8.5,,27340,Ram Kumar,"Vishnu Vishal, Amala Paul, Radha Ravi, Sangili Murugan",,Action
Whiplash,2014,106,8.5,88.0,732412,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser",13.09,Drama
The Intouchables,2011,112,8.5,,773592,ric Toledano,"François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot",13.18,Biography
The Prestige,2006,130,8.5,66.0,1208183,Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine",53.09,Drama
